1本目,亜鉛電気メッキ,強度区分4.8,4.8亜鉛電気メッキ,,,,,,,
回転角θ[°],CH1,CH2,F[N],Tf[Nm],勾配ΔTf/Δθ[Nm/°],Tr[Nm],
0,-229,-7,3201.1522,10,,0.189335,スナグトルク
10,-347,-149,4850.6542,14,0.4000,4.030122,
20,-515,-202,7199.0978,18,0.4000,5.463655,
30,-667,-218,9323.8801,24,0.6000,5.896420,
40,-752,-218,10512.0807,26,0.2000,5.896420,
50,-771,-182,10777.6784,27,0.1000,4.922699,
60,-741,-204,10358.3135,26,-0.1000,5.517751,
70,-702,-171,9813.1391,27,0.1000,4.625173,
80,-661,-188,9240.0071,28,0.1000,5.084986,
90,-631,-213,8820.6422,28,0.0000,5.761181,
100,-600,-163,8387.2984,27,-0.1000,4.408791,
110,-583,-164,8149.6583,28,0.1000,4.435839,
120,-571,-163,7981.9123,26,-0.2000,4.408791,
130,-537,-182,7506.6321,26,0.0000,4.922699,

2本目,亜鉛電気メッキ,強度区分8.8,8.8亜鉛電気メッキ,,,,,,,
回転角θ[°],CH1,CH2,F[N],Tf[Nm],勾配ΔTf/Δθ[Nm/°],Tr[Nm],
0,-222,-27,3103.3004,10,,0.730291,スナグトルク
10,-312,-128,4361.3952,11,0.1000,3.462118,
20,-452,-169,6318.4315,19,0.8000,4.571078,
30,-641,-191,8960.4305,24,0.5000,5.166129,
40,-853,-27,11923.9426,21,-0.3000,0.730291,
50,-974,-273,13615.3811,38,1.7000,7.384048,
60,-1013,-251,14160.5555,40,0.2000,6.788997,
70,-1007,-247,14076.6825,41,0.1000,6.680806,
80,-992,-229,13867.0000,39,-0.2000,6.193945,
90,-1001,-226,13992.8095,35,-0.4000,6.112802,

3本目,溶融亜鉛メッキ,強度区分8.8,8.8溶融亜鉛メッキ,,,,,,,
回転角θ[°],CH1,CH2,F[N],Tf[Nm],勾配ΔTf/Δθ[Nm/°],Tr[Nm],
0,-176,-77,2460.2742,10,,2.082680,スナグトルク
10,-421,-168,5885.0877,16,0.6000,4.544030,
20,-588,-217,8219.5524,21,0.5000,5.869372,
30,-801,-270,11197.0434,26,0.5000,7.302905,
40,-978,-307,13671.2964,30,0.4000,8.303674,
50,-1132,-317,15824.0363,31,0.1000,8.574152,
60,-1223,-344,17096.1099,36,0.5000,9.304442,
70,-1228,-348,17166.0041,39,0.3000,9.412633,
80,-1226,-323,17138.0464,39,0.0000,8.736438,
90,-1265,-334,17683.2208,39,0.0000,9.033964,

4本目,四三酸化鉄メッキ,強度区分10.9,10.9四三酸化鉄メッキ,,,,,,,
回転角θ[°],CH1,CH2,F[N],Tf[Nm],勾配ΔTf/Δθ[Nm/°],Tr[Nm],
0,-400,-97,5591.5323,10,,2.623636,スナグトルク
10,-572,-154,7995.8911,15,0.5000,4.165361,
20,-756,-207,10567.9960,19,0.4000,5.598894,
30,-963,-228,13461.6139,23,0.4000,6.166898,
40,-1157,-272,16173.5071,27,0.4000,7.357001,
50,-1338,-267,18703.6754,31,0.4000,7.221762,
60,-1503,-290,21010.1825,32,0.1000,7.843861,
70,-1600,-367,22366.1291,39,0.7000,9.926541,
80,-1690,-210,23624.2238,38,-0.1000,5.680037,
90,-1721,-380,24057.5676,42,0.4000,10.278163,
100,-1686,-345,23568.3085,40,-0.2000,9.331490,
110,-1728,-330,24155.4194,42,0.2000,8.925773,
120,-1737,-376,24281.2289,44,0.2000,10.169972,

5本目,四三酸化鉄メッキ,強度区分12.9,12.9四三酸化鉄メッキ,,,,,,,
回転角θ[°],CH1,CH2,F[N],Tf[Nm],勾配ΔTf/Δθ[Nm/°],Tr[Nm],
0,-322,-56,4501.1835,10,,1.514677,スナグトルク
10,-497,-171,6947.4788,12,0.2000,4.625173,
20,-713,-222,9966.9063,16,0.4000,6.004611,
30,-944,-257,13196.0161,22,0.6000,6.951284,
40,-1177,-101,16453.0837,24,0.2000,2.731827,
50,-1366,-313,19095.0827,27,0.3000,8.465960,
60,-1517,-312,21205.8861,27,0.0000,8.438913,
70,-1635,-345,22855.3881,30,0.3000,9.331490,
80,-1730,-369,24183.3771,32,0.2000,9.980637,
90,-1800,-345,25161.8952,35,0.3000,9.331490,
100,-1843,-323,25762.9849,34,-0.1000,8.736438,
110,-1854,-359,25916.7521,34,0.0000,9.710159,
120,-1866,-361,26084.4980,38,0.4000,9.764255,
130,-1854,-359,25916.7521,39,0.1000,9.710159,
140,-1848,-347,25832.8791,35,-0.4000,9.385585,
150,-1833,-254,25623.1966,33,-0.2000,6.870140,

