電流[A],距離ｄ[cm],半径r [m],電圧 [V],r^2 [m],,n=7,xi^2(B),yi©,xi*yi(D),xi(E),K(傾き),b(切片),B(A/m),e/m,,,,
1,5,0.025,64,0.000625,,,87350,0.0119,1.458925,742,2.27092E-05,-0.00070718,0.000779286,1.45022E+11,,,e/m 平均,1.66693E+11
,6,0.03,73,0.0009,,,,,,,傾きはr^2/V,,,,,,,
,7,0.035,82,0.001225,,,,,,,,,,,,,,
,8,0.04,96,0.0016,,,,,,,,,,,,,,
,9,0.045,119,0.002025,,,,,,,,,,,,,,
,10,0.05,140,0.0025,,,,,,,,,,,,,,
,11,0.055,168,0.003025,,,,,,,,,,,,,,
電流[A],距離ｄ[cm],半径r [m],電圧 [V],r^2 [m],,,,,,,,,,,,,,
1.2,5,0.025,74,0.000625,,,168934,0.0119,2.0397,1014,1.43273E-05,-0.000375408,0.000935143,1.59628E+11,,,,
,6,0.03,88,0.0009,,,,,,,,,,,,,,
,7,0.035,109,0.001225,,,,,,,,,,,,,,
,8,0.04,136,0.0016,,,,,,,,,,,,,,
,9,0.045,167,0.002025,,,,,,,,,,,,,,
,10,0.05,202,0.0025,,,,,,,,,,,,,,
,11,0.055,238,0.003025,,,,,,,,,,,,,,
電流[A],距離ｄ[cm],半径r [m],電圧 [V],r^2 [m],,,,,,,,,,,,,,
1.4,5,0.025,88,0.000625,,,306920,0.0119,2.753825,1352,9.94576E-06,-0.000220953,0.001091001,1.68944E+11,,,,
,6,0.03,113,0.0009,,,,,,,,,,,,,,
,7,0.035,144,0.001225,,,,,,,,,,,,,,
,8,0.04,179,0.0016,,,,,,,,,,,,,,
,9,0.045,226,0.002025,,,,,,,,,,,,,,
,10,0.05,275,0.0025,,,,,,,,,,,,,,
,11,0.055,327,0.003025,,,,,,,,,,,,,,
電流[A],距離ｄ[cm],半径r [m],電圧 [V],r^2 [m],,,,,,,,,,,,,,
1.6,5,0.025,106,0.000625,,,500512,0.0119,3.5187,1716,7.53317E-06,-0.000146703,0.001246858,1.70773E+11,,,,
,6,0.03,138,0.0009,,,,,,,,,,,,,,
,7,0.035,180,0.001225,,,,,,,,,,,,,,
,8,0.04,230,0.0016,,,,,,,,,,,,,,
,9,0.045,288,0.002025,,,,,,,,,,,,,,
,10,0.05,352,0.0025,,,,,,,,,,,,,,
,11,0.055,422,0.003025,,,,,,,,,,,,,,
電流[A],距離ｄ[cm],半径r [m],電圧 [V],r^2 [m],,,,,,,,,,,,,,
1.8,5,0.025,128,0.000625,,,796530,0.0119,4.44025,2152,5.7939E-06,-8.12095E-05,0.001402715,1.75437E+11,,,,
,6,0.03,168,0.0009,,,,,,,,,,,,,,
,7,0.035,222,0.001225,,,,,,,,,,,,,,
,8,0.04,286,0.0016,,,,,,,,,,,,,,
,9,0.045,363,0.002025,,,,,,,,,,,,,,
,10,0.05,448,0.0025,,,,,,,,,,,,,,
,11,0.055,537,0.003025,,,,,,,,,,,,,,
電流[A],距離ｄ[cm],半径r [m],電圧 [V],r^2 [m],,,,,,,,,,,,,,
2.0,5,0.025,150,0.000625,,,769138,0.008875,3.464825,1980,4.56507E-06,-2.34043E-05,0.001558572,1.80355E+11,,,,
,6,0.03,205,0.0009,,,,,,,,,,,,,,
,7,0.035,272,0.001225,,,,,,,,,,,,,,
,8,0.04,352,0.0016,,,,,,,,,,,,,,
,9,0.045,447,0.002025,,,,,,,,,,,,,,
,10,0.05,554,0.0025,,,,,,,,,,,,,,
,11,0.055,未測定,0.003025,,,,,,,,,,,,,,
